,class_names
2708,"Music,Angry music"
2709,"Music,Shuffling cards"
2710,Shatter
2711,"Narration, monologue,Speech"
2712,"Guitar,Music,Ukulele,Inside, small room"
2713,Speech synthesizer
2714,String section
2715,Creak
2716,"Jazz,Music"
2717,"Pump (liquid),Water"
2718,"Singing,Finger snapping,Music,Speech"
2719,"Bass guitar,Guitar,Music,Musical instrument,Plucked string instrument"
2720,Squeal
2721,Whip
2722,Snort
2723,"Music,Bang,Thunk"
2724,"Organ,Hammond organ"
2725,"Harpsichord,Keyboard (musical)"
2726,"Music of Asia,Music,Music for children,Pop music"
2727,"Cat,Domestic animals, pets,Meow,Animal"
2728,"Telephone dialing, DTMF,Music,Speech"
2729,"Cymbal,Drum,Drum kit,Drum roll,Hi-hat,Rimshot,Snare drum,Bass drum,Percussion"
2730,"Music,Male speech, man speaking,Speech"
2731,"Music,Choir,Female singing"
2732,"Railroad car, train wagon,Train whistle,Rail transport,Train"
2733,"Engine,Speech,Engine starting"
2734,"Domestic animals, pets,Pant,Speech,Dog,Animal"
2735,"Boat, Water vehicle,Motorboat, speedboat"
2736,"Wind instrument, woodwind instrument,Flute"
2737,Bouncing
2738,"Music,Wedding music"
2739,"Crowd,Cheering,Children shouting"
2740,"Cat,Music,Domestic animals, pets,Caterwaul,Animal"
2741,Fire
2742,Swing music
2743,Whip
2744,Gurgling
2745,"Chop,Splinter,Wood"
2746,"Thump, thud,Ping"
2747,"Toot,Vehicle,Car,Outside, urban or manmade"
2748,Christian music
2749,Typing
2750,"Speech,Male singing,Child singing"
2751,Sigh
2752,"Music,Child singing"
2753,"Music,Gasp"
2754,"Bark,Domestic animals, pets,Dog,Animal"
2755,Flamenco
2756,"Reversing beeps,Vehicle"
2757,"Music,Child singing"
2758,"Motor vehicle (road),Keys jangling,Accelerating, revving, vroom,Vehicle,Car"
2759,"Howl,Speech,Inside, small room"
2760,"Firecracker,Speech,Fireworks"
2761,"Filing (rasp),Rub,Wood"
2762,"Music,Vehicle,Air brake"
2763,"Neigh, whinny"
2764,Sonar
2765,Arrow
2766,Mantra
2767,"Music,Drum machine"
2768,"Buzzer,Speech"
2769,"Croak,Frog"
2770,"Pump (liquid),Water"
2771,Mandolin
2772,"Drum and bass,Music"
2773,Sine wave
2774,Chop
2775,"Music,Rattle (instrument)"
2776,"Marimba, xylophone,Glockenspiel,Mallet percussion"
2777,"Applause,Music"
2778,"Toilet flush,Water"
2779,Female singing
2780,"Music,Tender music"
2781,"Liquid,Music,Speech"
2782,"Chatter,Speech,Children playing"
2783,Alarm clock
2784,"Bird,Bird vocalization, bird call, bird song,Fowl,Honk,Goose"
2785,"Music,Tender music"
2786,"Funk,Music"
2787,"Slam,Speech"
2788,"Domestic animals, pets,Yip,Bow-wow,Speech,Dog,Animal,Whimper (dog)"
2789,Bang
2790,"Music,Psychedelic rock"
2791,"Mechanical fan,Speech,Inside, small room"
2792,"Bus,Vehicle,Speech"
2793,Vacuum cleaner
2794,"Bass guitar,Music"
2795,"Sink (filling or washing),Water tap, faucet,Water"
2796,"Water tap, faucet,Bathtub (filling or washing),Water"
2797,"Music,Sad music"
2798,Singing bowl
2799,"Music,Tambourine,Trance music"
2800,"Background music,Music"
2801,"Insect,Mosquito,Fly, housefly"
2802,"Computer keyboard,Typing"
2803,"Chewing, mastication"
2804,"Singing,Music,Song,A capella"
2805,"Sliding door,Speech,Inside, small room"
2806,"Smash, crash,Sound effect"
2807,Echo
2808,"Music,Boom"
2809,"Chainsaw,Tools,Speech"
2810,Jingle bell
2811,"Bicycle,Vehicle"
2812,"Tabla,Drum,Pizzicato,Percussion"
2813,"Singing,Music,Musical instrument,Soul music"
2814,"Fart,Speech,Inside, small room"
2815,"Electric piano,Keyboard (musical),Piano"
2816,Sizzle
2817,"Alarm clock,Alarm"
2818,"Clock,Speech"
2819,"Biting,Inside, small room"
2820,"Bird,Bird vocalization, bird call, bird song,Coo,Pigeon, dove"
2821,Growling
2822,Folk music
2823,"Music,Synthetic singing"
2824,"Railroad car, train wagon,Rail transport,Train,Clickety-clack"
2825,Drip
2826,"Electric shaver, electric razor,Music,Speech,Inside, small room"
2827,"Sizzle,Stir"
2828,Snort
2829,Didgeridoo
2830,"Cat,Domestic animals, pets,Caterwaul,Animal"
2831,"Cacophony,Speech"
2832,"Music,Quack,Duck,Speech"
2833,Static
2834,"Domestic animals, pets,Speech,Dog,Animal,Whimper (dog)"
2835,"Music,Theremin"
2836,Oink
2837,Mouse
2838,Static
2839,"Music,Wedding music"
2840,Sigh
2841,"Echo,Effects unit,Music"
2842,Microwave oven
2843,Shuffle
2844,"Speech,Male singing"
2845,"Music,Squeak"
2846,"Jazz,Music,Saxophone"
2847,"Domestic animals, pets,Howl,Animal"
2848,"Rain,Raindrop,Rain on surface"
2849,"Throbbing,Hum"
2850,Whimper
2851,Tap
2852,"Skateboard,Speech"
2853,"Singing,Opera"
2854,"Insect,Cricket"
2855,"Babbling,Speech"
2856,"Crowd,Cheering,Children shouting"
2857,"Pulse,Speech"
2858,"Music,Field recording"
2859,"Shuffling cards,Speech"
2860,"Music,Male speech, man speaking,Plop,Speech"
2861,Change ringing (campanology)
2862,"Bagpipes,Wind instrument, woodwind instrument"
2863,"Female speech, woman speaking,Crying, sobbing,Speech"
2864,"Music,Female singing,Child singing"
2865,"Spray,Speech"
2866,"Vehicle,Medium engine (mid frequency),Outside, urban or manmade"
2867,"Ice cream truck, ice cream van,Music"
2868,"Theme music,Music,Grunge"
2869,"Music,Male singing"
2870,"Speech,Male singing"
2871,"Engine,Idling,Aircraft,Medium engine (mid frequency)"
2872,"Electric piano,Keyboard (musical),Piano"
2873,Field recording
2874,"Music,Single-lens reflex camera,Speech"
2875,Crushing
2876,"Blues,Music"
2877,"Banjo,Country,Music,Musical instrument,Plucked string instrument"
2878,Buzzer
2879,"Background music,Music,Speech"
2880,"Music,Hubbub, speech noise, speech babble,Speech"
2881,"Pulleys,Mechanisms"
2882,"Crowd,Music,Bellow"
2883,"Radio,Speech"
2884,"Electronic music,Music,Electronic dance music,Sidetone"
2885,"Music,Independent music"
2886,"Music,Female singing,Child singing"
2887,"Gurgling,Speech"
2888,"Music,Punk rock"
2889,"Electronic music,Music,Trance music"
2890,"Pump (liquid),Water"
2891,Car passing by
2892,"Music,Sad music"
2893,"Splash, splatter,Water,Speech"
2894,"Bicycle,Music,Vehicle,Speech"
2895,Gasp
2896,"Horse,Neigh, whinny,Speech,Animal"
2897,"Shuffle,Speech"
2898,"Bird,Turkey,Bird vocalization, bird call, bird song,Fowl,Chirp, tweet,Crowing, cock-a-doodle-doo,Gobble,Chicken, rooster"
2899,"Music,Speech,Maraca"
2900,"Music,Squeak"
2901,"Boat, Water vehicle,Wind,Ship,Wind noise (microphone)"
2902,Lullaby
2903,"Laughter,Goat,Snicker,Speech,Livestock, farm animals, working animals,Animal"
2904,"Wind instrument, woodwind instrument,Shofar"
2905,"Buzzer,Speech"
2906,"Jazz,Music,Soundtrack music"
2907,"Music,Harmonic"
2908,"Scissors,Inside, small room"
2909,"Cat,Domestic animals, pets,Biting,Animal,Inside, small room"
2910,Church bell
2911,"Afrobeat,Music of Africa,Music,Electronica"
2912,"Keys jangling,Music,Speech"
2913,"Singing,Music,Psychedelic rock"
2914,"Dishes, pots, and pans"
2915,Sitar
2916,"Music,Soul music"
2917,"Jazz,Music"
2918,"Music,Toot,Vehicle,Vehicle horn, car horn, honking,Speech"
2919,"Guitar,Acoustic guitar,Steel guitar, slide guitar,Strum,Plucked string instrument,Fireworks"
2920,"Smash, crash,Whack, thwack"
2921,White noise
2922,"Music,Caterwaul,Speech"
2923,"Domestic animals, pets,Dog,Whimper (dog)"
2924,"Music,Opera,Classical music"
2925,Single-lens reflex camera
2926,"Music,Hubbub, speech noise, speech babble"
2927,"Engine knocking,Engine"
2928,"Female singing,Child singing"
2929,Tick-tock
2930,Biting
2931,"Music,Rapping"
2932,"Music,Boom"
2933,"Vehicle,Traffic noise, roadway noise,Car,Race car, auto racing"
2934,Sidetone
2935,Church bell
2936,"Mouse,Speech"
2937,"Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument,Child singing"
2938,"Music,Groan,Speech"
2939,"Speech,Boiling"
2940,"Engine,Idling,Vehicle,Medium engine (mid frequency)"
2941,"Ding,Jingle, tinkle"
2942,"Rain,Raindrop,Thunderstorm,Thunder"
2943,White noise
2944,"Chewing, mastication"
2945,Stomach rumble
2946,"Engine,Light engine (high frequency)"
2947,"Jingle, tinkle"
2948,Jet engine
2949,Tuning fork
2950,"Accelerating, revving, vroom,Medium engine (mid frequency)"
2951,"Music,Cacophony,Speech"
2952,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
2953,"Brass instrument,Saxophone"
2954,"Speech,Breathing"
2955,Timpani
2956,"Trickle, dribble"
2957,"Harmonica,Wind instrument, woodwind instrument"
2958,"Music,Sniff"
2959,"Christian music,Music"
2960,"Speech,Hands,Child speech, kid speaking"
2961,"Plop,Speech"
2962,Reggae
2963,Throbbing
2964,"Music,Speech,Oink"
2965,Lawn mower
2966,Singing bowl
2967,"Music,Bark,Domestic animals, pets,Speech,Dog,Animal"
2968,"Sliding door,Speech"
2969,"Music,Musical instrument,Classical music,Steelpan"
2970,Belly laugh
2971,"Shuffling cards,Speech,Inside, small room"
2972,"Music,Soul music"
2973,"Music,Hubbub, speech noise, speech babble"
2974,String section
2975,"Speech,Typewriter,Inside, small room"
2976,"Crowd,Cheering,Children shouting"
2977,"Heart sounds, heartbeat,Throbbing,Hum"
2978,"Music,Clatter"
2979,Pink noise
2980,"Eruption,Speech"
2981,Waterfall
2982,"Single-lens reflex camera,Speech"
2983,"Music,Female singing"
2984,"Sheep,Bleat"
2985,Heart murmur
2986,"Music,Child singing"
2987,"Music,Male singing"
2988,"Cat,Domestic animals, pets,Caterwaul,Speech,Animal"
2989,Drum and bass
2990,"Wind instrument, woodwind instrument,Shofar"
2991,"Singing,Music,Ska"
2992,Mantra
2993,"Bathtub (filling or washing),Water"
2994,Grunge
2995,"Bee, wasp, etc.,Insect,Fly, housefly"
2996,"Didgeridoo,Music,Musical instrument"
2997,"Tearing,Speech"
2998,Gong
2999,Medium engine (mid frequency)
3000,"Brass instrument,Trumpet"
3001,"Heart murmur,Speech"
3002,"Air conditioning,Vehicle"
3003,"Rain,Thunderstorm,Thunder"
3004,"Music,Ska"
3005,Scratch
3006,"Chink, clink,Speech"
3007,Squish
3008,"Goat,Sheep,Speech,Livestock, farm animals, working animals,Animal"
3009,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet"
3010,"Alarm clock,Speech"
3011,"Speech,Traffic noise, roadway noise,Outside, urban or manmade"
3012,"Whoosh, swoosh, swish"
3013,"Burping, eructation"
3014,"Engine,Jet engine"
3015,"Creak,Mechanisms"
3016,"Goat,Speech,Animal"
3017,Applause
3018,Cowbell
3019,"Wood block,Percussion"
3020,Bell
3021,Drum machine
3022,"Music,Plop,Speech"
3023,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
3024,Pink noise
3025,Computer keyboard
3026,"Engine,Idling,Vehicle"
3027,Crackle
3028,"Traditional music,Music"
3029,"Singing,Guitar,Music,Mandolin,Musical instrument,Ukulele,Plucked string instrument"
3030,"Jet engine,Vehicle,Aircraft"
3031,"Music,Whoop"
3032,"Music,Domestic animals, pets,Howl,Dog,Animal,Inside, small room"
3033,"Music,Trance music"
3034,"Pump (liquid),Water"
3035,Blender
3036,"Music,Male singing"
3037,"Smash, crash"
3038,Alarm
3039,"Music,Female singing,Child singing"
3040,"New-age music,Music"
3041,"Singing,Music,Bellow,Inside, large room or hall"
3042,Gush
3043,"Bark,Domestic animals, pets,Yip,Bow-wow,Dog,Animal"
3044,Opera
3045,"Didgeridoo,Music,Trance music"
3046,"Domestic animals, pets,Bow-wow,Speech,Dog,Animal,Whimper (dog)"
3047,"Coin (dropping),Ding"
3048,"Cowbell,Livestock, farm animals, working animals"
3049,"Scratching (performance technique),Electronic music,House music,Music,Techno"
3050,"Pig,Speech,Animal"
3051,"Engine,Jet engine,Pulse"
3052,"Bird,Bird vocalization, bird call, bird song,Coo,Pigeon, dove"
3053,"Radio,Speech"
3054,"Banjo,Country,Guitar,Music,Musical instrument,Speech,Plucked string instrument,Bluegrass"
3055,"Drum and bass,Electronic music,Music,Dubstep,Electronic dance music"
3056,"Ding,Clang"
3057,Arrow
3058,"Engine,Idling,Vehicle,Speech,Medium engine (mid frequency)"
3059,Babbling
3060,"Rain,Thunder"
3061,"Whispering,Crunch,Speech"
3062,"Air conditioning,Speech"
3063,"Sidetone,Sound effect"
3064,"Music,Rhythm and blues"
3065,"Engine,Music,Accelerating, revving, vroom,Vehicle,Speech,Car,Medium engine (mid frequency)"
3066,"Ice cream truck, ice cream van"
3067,Child singing
3068,"Singing,Carnatic music,Music of Asia,Music"
3069,Single-lens reflex camera
3070,"Music,Pop music,Exciting music"
3071,"Bus,Vehicle,Speech"
3072,"Music,Music of Bollywood"
3073,Quack
3074,"Gasp,Speech,Outside, rural or natural"
3075,"Turkey,Fowl,Gobble"
3076,"Clicking,Speech"
3077,"Bellow,Speech"
3078,"Rain,Rustle,Raindrop"
3079,"Speech,Children playing,Inside, small room"
3080,"Music,Bang"
3081,Applause
3082,Theme music
3083,"Mains hum,Hum"
3084,Crackle
3085,Coin (dropping)
3086,"Speech,Oink"
3087,"Hoot,Owl"
3088,"Singing,Music,Musical instrument,Vocal music"
3089,"Whack, thwack"
3090,Drawer open or close
3091,"Clicking,Speech,Inside, small room"
3092,"Music,Single-lens reflex camera"
3093,"Fowl,Crowing, cock-a-doodle-doo,Cluck,Chicken, rooster"
3094,"Reversing beeps,Truck,Vehicle"
3095,"Music,Synthetic singing"
3096,"Gospel music,Music"
3097,Scrape
3098,"Duck,Goose"
3099,"Music,Typewriter"
3100,"Music,Speech,Baby laughter,Inside, small room"
3101,"Sliding door,Speech,Inside, small room"
3102,"Drill,Tools,Power tool"
3103,"Fowl,Honk,Goose"
3104,"Sawing,Wood"
3105,"Music,Maraca"
3106,"Ambulance (siren),Emergency vehicle,Siren,Police car (siren)"
3107,"Power windows, electric windows,Vehicle,Car"
3108,"Music,Psychedelic rock"
3109,"Door,Knock,Speech"
3110,Clock
3111,"Music,Choir,Male singing"
3112,Child singing
3113,Patter
3114,"Rodents, rats, mice,Patter"
3115,"Propeller, airscrew,Vehicle"
3116,"Snoring,Domestic animals, pets,Sniff,Dog,Animal"
3117,"Crack,Speech"
3118,"Creak,Mechanisms"
3119,"Music,Tap"
3120,"Toothbrush,Music,Musical instrument,Percussion"
3121,"Music,Speech,Male singing"
3122,"Harp,Pizzicato"
3123,"Music,Bleat"
3124,"Singing,Music of Asia,Music,Pop music,Chink, clink"
3125,"Ice cream truck, ice cream van,Music,Speech"
3126,Whip
3127,"Shuffling cards,Speech,Inside, small room"
3128,"Wheeze,Speech"
3129,"Speech,Drawer open or close"
3130,Waterfall
3131,"Blues,Music"
3132,Buzzer
3133,"Blues,Music"
3134,Sliding door
3135,"Toilet flush,Water"
3136,"Didgeridoo,Music"
3137,"Fowl,Crowing, cock-a-doodle-doo,Cluck,Chicken, rooster"
3138,"Music,Mandolin"
3139,"Firecracker,Speech,Fireworks,Outside, urban or manmade"
3140,"Bird flight, flapping wings"
3141,Rumble
3142,"Squawk,Speech,Inside, small room"
3143,"Scratching (performance technique),Music,Scratch,Drum machine"
3144,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet"
3145,Fusillade
3146,Ambient music
3147,"Glass,Music,Musical instrument,Chink, clink"
3148,"Breaking,Speech"
3149,"Motorcycle,Thump, thud,Vehicle,Speech"
3150,"Cupboard open or close,Speech,Drawer open or close"
3151,"Thunk,Speech"
3152,"Music,Angry music"
3153,"Speech,Drawer open or close"
3154,Progressive rock
3155,"Bird flight, flapping wings"
3156,"Music,Snicker,Speech"
3157,"Sliding door,Speech"
3158,"Explosion,Speech"
3159,"Rain,Thunderstorm,Thunder"
3160,"Funk,Music,Speech"
3161,"Echo,Effects unit,Electric guitar,Guitar,Music,Musical instrument,Rock music,Plucked string instrument"
3162,"Tearing,Speech"
3163,"Country,Music,Bluegrass"
3164,"Propeller, airscrew,Speech"
3165,"Cymbal,Drum,Drum kit,Drum roll,Hi-hat,Rimshot,Snare drum,Bass drum,Percussion"
3166,"Jazz,Music,Rhythm and blues"
3167,"Fowl,Crowing, cock-a-doodle-doo,Cluck,Chicken, rooster"
3168,"Tabla,Drum,Percussion"
3169,"Slam,Speech"
3170,"Pant,Speech"
3171,Snoring
3172,"Reverberation,Echo,Effects unit,Guitar,Music,Musical instrument,Chorus effect,Plucked string instrument,Distortion"
3173,"Railroad car, train wagon,Train horn,Rail transport,Train"
3174,"Singing,Christian music,Music"
3175,"Traditional music,Music"
3176,"Wild animals,Music,Animal"
3177,"Change ringing (campanology),Tubular bells"
3178,Microwave oven
3179,"Organ,Hammond organ"
3180,"Shatter,Speech"
3181,"Firecracker,Inside, small room"
3182,"Speech,Traffic noise, roadway noise"
3183,"Music,Radio"
3184,"Skidding,Vehicle,Car,Race car, auto racing"
3185,"Scratching (performance technique),Electronic music,Music,Hip hop music"
3186,"Mains hum,Hum,Static"
3187,"Liquid,Slosh"
3188,"Music,Speech,Sewing machine"
3189,"Singing,Drum,Music,Percussion,Maraca"
3190,"Singing,Music,Electronic tuner"
3191,Yip
3192,"Chuckle, chortle,Speech"
3193,Video game music
3194,"Clatter,Speech"
3195,"Harp,Pizzicato"
3196,"Sigh,Speech"
3197,"Organ,Hammond organ"
3198,"Filing (rasp),Rub"
3199,"Insect,Mosquito,Fly, housefly"
3200,"Truck,Vehicle,Air brake"
3201,"Whoosh, swoosh, swish,Sound effect"
3202,Zipper (clothing)
3203,"Echo,Music,Wail, moan"
3204,Buzzer
3205,"Music,Rumble"
3206,"Biting,Inside, small room"
3207,Eruption
3208,"Whoosh, swoosh, swish"
3209,Clatter
3210,"Speech,Throat clearing"
3211,"Trickle, dribble,Speech"
3212,"Doorbell,Speech"
3213,"Domestic animals, pets,Pig,Animal"
3214,"Speech,Animal,Child speech, kid speaking,Outside, rural or natural,Whimper (dog)"
3215,Purr
3216,Vacuum cleaner
3217,"Music,Thunk,Speech"
3218,"Trickle, dribble,Speech"
3219,"Music,Female singing,Synthetic singing"
3220,"Humming,Female speech, woman speaking"
3221,"Thump, thud,Speech"
3222,"Music,Independent music,Exciting music"
3223,"Reversing beeps,Truck,Vehicle,Speech"
3224,"Tick-tock,Tick,Speech"
3225,"Whimper,Speech,Baby cry, infant cry"
3226,Stomach rumble
3227,"Electric piano,Keyboard (musical),Piano"
3228,"Shatter,Speech"
3229,"Stomach rumble,Speech"
3230,"Engine,Heavy engine (low frequency),Engine starting"
3231,"Music,Shatter"
3232,"Music,Speech,Child speech, kid speaking,Child singing"
3233,"Scratching (performance technique),Electronic music,Music,Speech"
3234,Sizzle
3235,"Tap,Speech"
3236,Stomach rumble
3237,"Music,Male singing"
3238,"Music,Shuffling cards"
3239,"Music,Slam,Speech"
3240,"Sizzle,Stir"
3241,Lawn mower
3242,"Splinter,Crushing,Wood"
3243,Finger snapping
3244,"Keys jangling,Speech"
3245,"Singing,Music,Whoop,Yell"
3246,"Electric shaver, electric razor,Speech"
3247,"Sine wave,Chirp tone"
3248,"Horse,Neigh, whinny,Clip-clop,Speech,Animal"
3249,Knock
3250,"Engine,Vehicle,Gush"
3251,"Music,Ping"
3252,"Cat,Domestic animals, pets,Meow,Caterwaul,Animal"
3253,Whistling
3254,"Music,Musical instrument,Ukulele,Speech,Plucked string instrument"
3255,"Air horn, truck horn,Toot,Vehicle horn, car horn, honking,Speech"
3256,Accordion
3257,"Music,Trance music"
3258,"Ice cream truck, ice cream van,Vehicle,Speech"
3259,"Speech,Choir,Male singing"
3260,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
3261,"Jackhammer,Music"
3262,"Bee, wasp, etc.,Insect,Fly, housefly"
3263,"Narration, monologue,Music,Male speech, man speaking,Speech,Speech synthesizer"
3264,Stomach rumble
3265,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet"
3266,"Singing,Music,Bellow"
3267,"Music,Electronica"
3268,Electric toothbrush
3269,"Bagpipes,Wind instrument, woodwind instrument"
3270,"Brass instrument,French horn"
3271,Crushing
3272,"Truck,Vehicle,Speech,Outside, rural or natural,Engine starting"
3273,"Music,Shout"
3274,"Wind chime,Chime"
3275,"Crowd,Cheering,Children shouting"
3276,"Crying, sobbing,Music,Speech"
3277,"Bathtub (filling or washing),Water"
3278,"Sanding,Rub,Wood"
3279,"Engine,Medium engine (mid frequency)"
3280,Song
3281,"Firecracker,Speech,Fireworks"
3282,"Domestic animals, pets,Speech,Dog,Animal,Breathing"
3283,Buzzer
3284,"Music,Male singing"
3285,"Bicycle,Music,Vehicle,Speech"
3286,"Organ,Electric piano,Electronic organ,Keyboard (musical),Piano"
3287,"Drum and bass,Music"
3288,"Rumble,Speech"
3289,"Singing,Guitar,Music,Musical instrument,Plucked string instrument,Maraca"
3290,Tick-tock
3291,"Door,Vehicle,Car"
3292,"Clatter,Speech"
3293,"Hubbub, speech noise, speech babble,Speech"
3294,Salsa music
3295,Male singing
3296,"Conversation,Music,Speech"
3297,"Music,Field recording"
3298,Typing
3299,"Music,Speech,Boing"
3300,"Cattle, bovinae,Moo,Livestock, farm animals, working animals"
3301,"Music,Soul music"
3302,"Giggle,Speech"
3303,"Engine,Idling,Accelerating, revving, vroom,Vehicle,Speech,Car,Medium engine (mid frequency),Engine starting"
3304,Snoring
3305,"Electronic music,Doorbell,Music,Musical instrument,Ding-dong,Speech"
3306,Explosion
3307,"Organ,Hammond organ"
3308,"Gunshot, gunfire,Artillery fire"
3309,"Blues,Music"
3310,"Reverberation,Effects unit,Guitar,Music,Musical instrument,Plucked string instrument"
3311,"Pig,Animal,Outside, rural or natural"
3312,"Music,Male singing"
3313,"Music,Funny music"
3314,Hammer
3315,"Sanding,Rub"
3316,"Gunshot, gunfire,Cap gun"
3317,"Bouncing,Speech"
3318,Eruption
3319,"Music,Bark,Speech,Inside, small room"
3320,"Jazz,Music"
3321,"Organ,Electric piano,Electronic organ,Keyboard (musical),Piano"
3322,"Door,Speech"
3323,"Wind chime,Wind,Chime"
3324,"Plop,Speech"
3325,Noise
3326,"Printer,Speech"
3327,Chirp tone
3328,"Music,Fill (with liquid),Speech"
3329,"Boat, Water vehicle,Motorboat, speedboat,Waves, surf,Rowboat, canoe, kayak,Ocean"
3330,"Pump (liquid),Water,Gush"
3331,"Insect,Mosquito,Fly, housefly"
3332,White noise
3333,Lullaby
3334,"Air horn, truck horn,Speech,Inside, small room"
3335,"Reverberation,Clatter"
3336,"Mains hum,Hum"
3337,"Purr,Animal"
3338,Whip
3339,"Singing,Music,Reggae"
3340,"Slap, smack"
3341,"Fowl,Honk,Goose"
3342,"Singing,Gospel music,Music"
3343,"Turkey,Fowl,Gobble"
3344,"Cymbal,Drum,Drum kit,Drum roll,Hi-hat,Rimshot,Snare drum,Bass drum,Percussion"
3345,"Smash, crash,Whack, thwack"
3346,"Traditional music,Music"
3347,"Slap, smack"
3348,"Babbling,Speech,Inside, large room or hall"
3349,"Snoring,Music,Speech"
3350,Chop
3351,"Music,Slosh,Speech"
3352,"Cash register,Speech"
3353,"Motor vehicle (road),Truck,Vehicle,Speech,Traffic noise, roadway noise,Car"
3354,Sidetone
3355,"Music,Male singing"
3356,"Boat, Water vehicle,Waves, surf,Wind,Ocean,Sailboat, sailing ship,Wind noise (microphone)"
3357,"Doorbell,Ding-dong"
3358,"Canidae, dogs, wolves,Domestic animals, pets,Dog,Growling,Animal"
3359,"Domestic animals, pets,Squeak,Dog,Animal"
3360,"Bird flight, flapping wings"
3361,"Gargling,Speech"
3362,"Sampler,Music"
3363,"Fusillade,Music,Speech"
3364,"Cupboard open or close,Speech"
3365,"Vehicle,Helicopter,Speech"
3366,"Speech,Child speech, kid speaking,Children playing"
3367,"Music,Tender music"
3368,Jingle bell
3369,"Cat,Purr,Domestic animals, pets,Animal"
3370,"Laughter,Speech,Baby laughter"
3371,"Aircraft engine,Vehicle,Speech,Fixed-wing aircraft, airplane,Aircraft"
3372,Zing
3373,"Sizzle,Frying (food)"
3374,"Music,Inside, public space"
3375,"Cat,Music,Meow,Animal"
3376,"Music,Wail, moan"
3377,"Reversing beeps,Speech"
3378,"Brass instrument,Clarinet"
3379,"Singing,Electric guitar"
3380,Breathing
3381,"Single-lens reflex camera,Speech"
3382,"Bird flight, flapping wings"
3383,"Bee, wasp, etc.,Insect,Mosquito,Cricket,Fly, housefly"
3384,"Gasp,Speech"
3385,"Clatter,Speech"
3386,"Bee, wasp, etc.,Insect,Fly, housefly"
3387,"Sanding,Rub"
3388,"Music,Vehicle,Speech,Tire squeal,Car,Race car, auto racing"
3389,"Music,Funny music"
3390,"Cat,Music,Domestic animals, pets,Meow,Animal"
3391,"Hands,Inside, small room"
3392,Progressive rock
3393,"Music,Speech,Boing"
3394,"Skidding,Vehicle,Tire squeal,Car,Race car, auto racing"
3395,"Singing,Christian music,Music,Rapping,Song,Hip hop music"
3396,"Rodents, rats, mice"
3397,"Reversing beeps,Truck,Vehicle"
3398,"Domestic animals, pets,Caterwaul,Speech,Animal"
3399,"Smoke detector, smoke alarm,Speech,Fire alarm"
3400,"Boat, Water vehicle,Motorboat, speedboat"
3401,"Music,Reggae"
3402,Telephone bell ringing
3403,"Christmas music,Christian music,Music"
3404,Frying (food)
3405,"Zither,Pizzicato"
3406,"Sink (filling or washing),Water tap, faucet,Water"
3407,"Ratchet, pawl,Gears,Mechanisms"
3408,"Plop,Speech"
3409,"Busy signal,Speech"
3410,Busy signal
3411,"Music,Harmonic"
3412,"Firecracker,Speech,Inside, small room"
3413,"Laughter,Baby laughter"
3414,"Air horn, truck horn,Vehicle horn, car horn, honking,Outside, rural or natural"
3415,"Insect,Mosquito,Fly, housefly"
3416,"Turkey,Fowl,Gobble"
3417,"Creak,Mechanisms"
3418,Mantra
3419,Vacuum cleaner
3420,"Music,Maraca"
3421,"Speech,Crumpling, crinkling"
3422,"Railroad car, train wagon,Train whistle,Rail transport,Train"
3423,"Busy signal,Speech"
3424,"Snort,Speech"
3425,Music of Bollywood
3426,Quack
3427,"Music,Female singing"
3428,"Flamenco,Music of Latin America"
3429,"Music,Rattle (instrument),Speech"
3430,Bouncing
3431,"Growling,Inside, small room"
3432,"Wail, moan"
3433,Crushing
3434,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3435,"Music,Male singing,Synthetic singing"
3436,"Crackle,Speech"
3437,"Chewing, mastication,Biting"
3438,"Folk music,Music"
3439,"Theme music,Music"
3440,"Whoosh, swoosh, swish"
3441,"Bathtub (filling or washing),Water"
3442,"Music,Progressive rock"
3443,"Music,Speech,Female singing"
3444,"Blues,Music"
3445,"Insect,Mosquito,Fly, housefly"
3446,"Chink, clink"
3447,"Music,Thunk,Speech"
3448,"Explosion,Music"
3449,Stomach rumble
3450,Light engine (high frequency)
3451,"Music,Speech,Female singing"
3452,"Reversing beeps,Truck,Vehicle,Speech"
3453,"Music,Punk rock"
3454,Hammer
3455,"Christmas music,Music,Music for children"
3456,"Alarm clock,Domestic animals, pets,Speech,Dog,Animal"
3457,"Rain,Thunderstorm,Thunder"
3458,"Air conditioning,Speech,Inside, small room"
3459,Chopping (food)
3460,"Singing,Flamenco,Mandolin"
3461,"Dial tone,Speech"
3462,"Chewing, mastication,Speech,Inside, small room"
3463,"Ratchet, pawl,Pulleys,Mechanisms"
3464,"Hiccup,Speech"
3465,"Choir,Male singing,Female singing"
3466,"Speech,Speech synthesizer"
3467,"Siren,Civil defense siren"
3468,"Pink noise,Outside, rural or natural"
3469,Crack
